ID,Tube,Initial,Final
E_1_13_10,12.6996,1.79804,13.31718
E_1_13_9,12.73733,1.91102,13.36911
E_1_13_8,12.81852,1.79315,13.35538
E_1_13_7,12.95839,1.79502,13.4653
E_1_13_6,12.79047,1.6936,13.2635
E_1_13_5,12.8199,1.90115,13.25657
E_1_13_4,12.74336,1.72372,13.07266
E_1_13_3,12.76622,1.85562,13.02942
E_1_13_2,12.86369,1.70678,13.11154
E_1_13_1,12.75568,1.81492,13.01441
E_1_15_21,12.82345,1.88427,12.83338
E_1_15_20,12.89591,1.70806,13.71546
E_1_15_19,12.92178,1.61813,13.6712
E_1_15_18,12.77332,1.68149,13.5146
E_1_15_17,12.84651,1.93136,13.68379
E_1_15_16,13.01836,1.97971,13.8785
E_1_15_15,12.88119,1.9519,13.71904
E_1_15_14,12.73609,1.79763,13.42113
E_1_15_13,12.83574,1.98327,13.45636
E_1_15_12,12.82502,1.7646,13.31531
E_1_15_11,12.69593,1.85516,13.16688
E_1_15_10,12.8829,1.9799,13.39379
E_1_15_9,12.76248,1.69461,13.20791
E_1_15_8,12.77912,1.85352,13.15969
E_1_15_7,12.72286,1.99796,13.03152
E_1_15_6,12.90846,1.84064,13.18158
E_1_15_5,12.87188,1.93467,13.15655
E_1_15_4,12.72843,1.51871,12.9554
E_1_15_3,12.67858,1.71901,12.88074
E_1_15_2,12.71378,1.699,12.90017
E_1_15_1,12.98114,1.98229,13.19787
E_1_14_21,12.78289,1.96069,13.63792
E_1_14_20,12.88416,1.96563,13.73596
E_1_14_19,12.83307,1.9951,13.65921
E_1_14_18,12.66479,1.871,13.39267
E_1_14_17,12.82626,1.72806,13.48594
E_1_14_16,12.88936,1.69574,13.51468
E_1_14_15,12.83249,1.58629,13.42322
E_1_14_14,12.725,1.97927,13.48395
E_1_14_13,12.88928,1.83155,13.60683
E_1_14_12,12.73234,1.81135,13.48421
E_1_14_11,12.72249,1.88535,13.48595
E_1_14_10,12.92636,1.86801,13.67376
E_1_14_9,12.88364,1.99449,13.69893
E_1_14_8,12.9748,1.68372,13.72133
E_1_14_7,12.88257,1.92535,13.81124
E_1_14_6,12.80436,1.87305,13.70068
E_1_14_5,12.75861,1.98414,13.69417
E_1_14_4,12.79444,1.92569,13.69764
E_1_14_3,12.6731,1.73618,13.47944
E_1_14_2,12.81466,1.93332,13.74523
E_1_14_1,12.94663,1.89142,13.80963
E_2_13_21,12.80461,1.91736,13.58265
E_2_13_20,12.83987,1.72103,13.58553
E_2_13_19,12.86311,1.99563,13.73166
E_2_13_18,12.79676,1.72142,13.55691
E_2_13_17,12.75516,1.91394,13.68544
E_2_13_16,12.86742,1.99365,13.88821
E_2_13_15,12.70628,1.95326,13.68075
E_2_13_14,12.87777,1.83704,13.7629
E_2_13_13,12.8595,1.8889,13.72457
E_2_13_12,12.66713,1.74514,13.41389
E_2_13_11,12.84547,1.74813,13.60088
E_2_13_10,12.85454,1.90948,13.72807
E_2_13_9,12.92569,1.97126,13.88828
E_2_13_8,12.71827,1.94922,13.68694
E_2_13_7,12.72924,1.70202,13.58817
E_2_13_6,12.92489,1.6954,13.76217
E_2_13_5,12.88318,1.9563,13.79755
E_2_13_4,12.80191,1.68929,13.47135
E_2_13_3,12.85204,1.89929,13.54564
E_2_13_2,12.68903,1.95125,13.3976
E_2_13_1,12.79952,1.81578,13.42454
E_1_6_21,12.8637,1.9523,13.48569
E_1_6_20,12.75943,1.92012,13.2996
E_1_6_19,12.74288,1.84476,13.25911
E_1_6_18,12.73419,1.79713,13.23354
E_1_6_17,12.75464,1.85677,13.27742
E_1_6_16,12.96203,1.84356,13.49468
E_1_6_15,12.73542,1.71634,13.23855
E_1_6_14,12.81374,1.8622,13.34982
E_1_6_13,12.82259,1.881,13.36551
E_1_6_12,12.97602,1.72059,13.47849
E_1_6_11,12.75549,1.88224,13.3158
E_1_6_10,12.6395,1.98781,13.26447
E_1_6_9,12.80106,1.90318,13.42535
E_1_6_8,12.82226,1.80881,13.42612
E_1_6_7,12.71894,1.92982,13.36802
E_1_6_6,12.82981,1.91295,13.48703
E_1_6_5,12.84798,1.78007,13.56218
E_1_6_4,12.74582,1.8119,13.4286
E_1_6_3,12.88165,1.8205,13.50021
E_1_6_2,12.85302,1.94855,13.45262
E_1_6_1,12.85613,1.86497,13.40373
E_1_2_21,12.82099,1.85841,13.57591
E_1_2_20,12.94064,1.92172,13.70805
E_1_2_19,12.85353,1.74545,13.52711
E_1_2_18,12.87874,1.91744,13.61893
E_1_2_17,12.92461,1.90393,13.64476
E_1_2_16,12.72965,1.86701,13.41898
E_1_2_15,12.72103,1.88424,13.4332
E_1_2_14,12.80799,1.92325,13.54685
E_1_2_13,12.86401,1.95276,13.66793
E_1_2_12,12.83257,1.831,13.61226
E_1_2_11,12.88046,1.83792,13.67143
E_1_2_10,12.91639,1.78972,13.65113
E_1_2_9,12.88653,1.91299,13.74956
E_1_2_8,12.78538,1.93623,13.72895
E_1_2_7,12.79528,1.87612,13.73064
E_1_2_6,12.87989,1.96541,13.78981
E_1_2_5,12.77772,1.94757,13.67004
E_1_2_4,12.76013,1.98624,13.60234
E_1_2_3,12.638,1.82055,13.30221
E_1_2_2,12.90043,1.95877,13.57382
E_1_2_1,12.75639,1.86793,13.35542
