Sample,Mean,Median,Mode,SD,Skewness,Kurtosis,Bin,Percentage
3,26.81,31.62,116.3,3.79,-0.614,-0.339,0.868,0.25
3,26.81,31.62,116.3,3.79,-0.614,-0.339,0.953,0.26
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.047,0.27
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.149,0.29
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.261,0.3
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.385,0.31
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.52,0.34
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.668,0.37
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1.832,0.4
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2.011,0.45
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2.207,0.5
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2.423,0.57
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2.66,0.64
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2.92,0.72
3,26.81,31.62,116.3,3.79,-0.614,-0.339,3.205,0.81
3,26.81,31.62,116.3,3.79,-0.614,-0.339,3.519,0.91
3,26.81,31.62,116.3,3.79,-0.614,-0.339,3.863,1.01
3,26.81,31.62,116.3,3.79,-0.614,-0.339,4.24,1.12
3,26.81,31.62,116.3,3.79,-0.614,-0.339,4.655,1.23
3,26.81,31.62,116.3,3.79,-0.614,-0.339,5.11,1.34
3,26.81,31.62,116.3,3.79,-0.614,-0.339,5.61,1.45
3,26.81,31.62,116.3,3.79,-0.614,-0.339,6.158,1.56
3,26.81,31.62,116.3,3.79,-0.614,-0.339,6.76,1.66
3,26.81,31.62,116.3,3.79,-0.614,-0.339,7.421,1.76
3,26.81,31.62,116.3,3.79,-0.614,-0.339,8.147,1.85
3,26.81,31.62,116.3,3.79,-0.614,-0.339,8.943,1.93
3,26.81,31.62,116.3,3.79,-0.614,-0.339,9.817,2
3,26.81,31.62,116.3,3.79,-0.614,-0.339,10.78,2.05
3,26.81,31.62,116.3,3.79,-0.614,-0.339,11.83,2.09
3,26.81,31.62,116.3,3.79,-0.614,-0.339,12.99,2.11
3,26.81,31.62,116.3,3.79,-0.614,-0.339,14.26,2.1
3,26.81,31.62,116.3,3.79,-0.614,-0.339,15.65,2.09
3,26.81,31.62,116.3,3.79,-0.614,-0.339,17.18,2.07
3,26.81,31.62,116.3,3.79,-0.614,-0.339,18.86,2.09
3,26.81,31.62,116.3,3.79,-0.614,-0.339,20.7,2.12
3,26.81,31.62,116.3,3.79,-0.614,-0.339,22.73,2.17
3,26.81,31.62,116.3,3.79,-0.614,-0.339,24.95,2.19
3,26.81,31.62,116.3,3.79,-0.614,-0.339,27.39,2.17
3,26.81,31.62,116.3,3.79,-0.614,-0.339,30.07,2.1
3,26.81,31.62,116.3,3.79,-0.614,-0.339,33.01,2.02
3,26.81,31.62,116.3,3.79,-0.614,-0.339,36.24,1.99
3,26.81,31.62,116.3,3.79,-0.614,-0.339,39.78,2.02
3,26.81,31.62,116.3,3.79,-0.614,-0.339,43.67,2.14
3,26.81,31.62,116.3,3.79,-0.614,-0.339,47.94,2.27
3,26.81,31.62,116.3,3.79,-0.614,-0.339,52.62,2.36
3,26.81,31.62,116.3,3.79,-0.614,-0.339,57.77,2.36
3,26.81,31.62,116.3,3.79,-0.614,-0.339,63.41,2.27
3,26.81,31.62,116.3,3.79,-0.614,-0.339,69.61,2.2
3,26.81,31.62,116.3,3.79,-0.614,-0.339,76.42,2.29
3,26.81,31.62,116.3,3.79,-0.614,-0.339,83.89,2.65
3,26.81,31.62,116.3,3.79,-0.614,-0.339,92.09,3.32
3,26.81,31.62,116.3,3.79,-0.614,-0.339,101.1,4.13
3,26.81,31.62,116.3,3.79,-0.614,-0.339,111,4.73
3,26.81,31.62,116.3,3.79,-0.614,-0.339,121.8,4.72
3,26.81,31.62,116.3,3.79,-0.614,-0.339,133.7,3.92
3,26.81,31.62,116.3,3.79,-0.614,-0.339,146.8,2.4
3,26.81,31.62,116.3,3.79,-0.614,-0.339,161.2,0.98
3,26.81,31.62,116.3,3.79,-0.614,-0.339,176.9,0.2
3,26.81,31.62,116.3,3.79,-0.614,-0.339,194.2,0.016
3,26.81,31.62,116.3,3.79,-0.614,-0.339,213.2,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,234.1,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,256.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,282.1,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,309.6,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,339.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,373.1,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,409.6,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,449.7,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,493.6,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,541.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,594.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,653,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,716.8,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,786.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,863.9,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,948.3,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1041,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1143,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1255,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1377,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1512,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1660,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,1822,0
3,26.81,31.62,116.3,3.79,-0.614,-0.339,2000,NA
